achiev,adj,adverb,affect,affiliation,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogproc,compare,conj,death,differ,discrep,drives,family,feel,female,filler,focusfuture,focuspast,focuspresent,friend,function,health,hear,home,i,informal,ingest,insight,interrog,ipron,leisure,male,money,motion,negate,negemo,netspeak,nonflu,number,percept,posemo,power,ppron,prep,pronoun,quant,relativ,relig,reward,risk,sad,see,sexual,shehe,social,space,swear,tentat,they,time,verb,we,work,you
4.166666666666666,4.166666666666666,,,,,,8.333333333333332,,4.166666666666666,4.166666666666666,,,,4.166666666666666,4.166666666666666,,,,,8.333333333333332,,,,,,4.166666666666666,8.333333333333332,,50.0,4.166666666666666,,,8.333333333333332,,,,,4.166666666666666,,,,4.166666666666666,,,,,4.166666666666666,,,4.166666666666666,8.333333333333332,25.0,12.5,8.333333333333332,20.833333333333336,,,,,,,,,4.166666666666666,,4.166666666666666,,12.5,8.333333333333332,,4.166666666666666,
14.285714285714285,,,14.285714285714285,,,14.285714285714285,,,14.285714285714285,,,14.285714285714285,,14.285714285714285,,,14.285714285714285,,,14.285714285714285,,,,,,,14.285714285714285,,28.57142857142857,,,,,,,,,,,,,14.285714285714285,,14.285714285714285,,,,,,14.285714285714285,,14.285714285714285,,,14.285714285714285,,,,,,,,,,,,,,,,14.285714285714285,
,4.545454545454546,4.545454545454546,9.090909090909092,4.545454545454546,,9.090909090909092,,,13.636363636363635,4.545454545454546,,,,4.545454545454546,,,,4.545454545454546,,4.545454545454546,,,,,,4.545454545454546,13.636363636363635,,31.818181818181817,4.545454545454546,,,,4.545454545454546,,,,,,,,,4.545454545454546,9.090909090909092,4.545454545454546,,,,,,9.090909090909092,,9.090909090909092,4.545454545454546,4.545454545454546,,,,,,,,9.090909090909092,4.545454545454546,,,,,18.181818181818183,,,9.090909090909092
,,5.555555555555555,,5.555555555555555,,,5.555555555555555,5.555555555555555,5.555555555555555,,,,,,,,,,,11.11111111111111,,,,,,,5.555555555555555,,33.33333333333333,,,,,5.555555555555555,,,,,,,,,,,5.555555555555555,,,,,5.555555555555555,5.555555555555555,11.11111111111111,5.555555555555555,,5.555555555555555,,,,,,,,5.555555555555555,5.555555555555555,,,,,5.555555555555555,5.555555555555555,,
5.263157894736842,5.263157894736842,,15.789473684210526,,,5.263157894736842,10.526315789473683,,5.263157894736842,5.263157894736842,,,,,5.263157894736842,,,,,5.263157894736842,,,,,,5.263157894736842,15.789473684210526,,31.57894736842105,5.263157894736842,5.263157894736842,,,5.263157894736842,,,,5.263157894736842,,,5.263157894736842,5.263157894736842,,5.263157894736842,5.263157894736842,,,5.263157894736842,10.526315789473683,,5.263157894736842,10.526315789473683,10.526315789473683,,5.263157894736842,,5.263157894736842,,,,,,15.789473684210526,,,,,,21.052631578947366,,,5.263157894736842
,7.142857142857142,,7.142857142857142,7.142857142857142,,7.142857142857142,,,,7.142857142857142,,,,7.142857142857142,7.142857142857142,14.285714285714285,,,,14.285714285714285,,7.142857142857142,,,,,,,21.428571428571427,7.142857142857142,,,,,,7.142857142857142,,,,,,,,7.142857142857142,,,,7.142857142857142,,7.142857142857142,7.142857142857142,,7.142857142857142,14.285714285714285,,,,,,,,,21.428571428571427,,,,,,7.142857142857142,,,7.142857142857142
,6.666666666666667,,13.333333333333334,,,6.666666666666667,,,,,,,,13.333333333333334,6.666666666666667,,,6.666666666666667,,,,,,,,,,,33.33333333333333,,,,,,,6.666666666666667,6.666666666666667,6.666666666666667,,,,,,6.666666666666667,,,,,6.666666666666667,,,26.666666666666668,6.666666666666667,,6.666666666666667,,,,,,,,6.666666666666667,6.666666666666667,,,,,,,,
5.88235294117647,11.76470588235294,,17.647058823529413,,,11.76470588235294,5.88235294117647,,,,,,,11.76470588235294,11.76470588235294,5.88235294117647,,11.76470588235294,,23.52941176470588,,,,,,5.88235294117647,5.88235294117647,,35.294117647058826,,,,,,,,,,,,,,,17.647058823529413,,,,,,11.76470588235294,,23.52941176470588,,5.88235294117647,17.647058823529413,,5.88235294117647,,5.88235294117647,,,,,11.76470588235294,,5.88235294117647,,5.88235294117647,5.88235294117647,,11.76470588235294,
,7.6923076923076925,,38.46153846153847,,7.6923076923076925,23.076923076923077,,,,23.076923076923077,,,,,,,,,,,,,,,,,7.6923076923076925,,,23.076923076923077,,,,,,,,,,,,,,38.46153846153847,,,,,,,,,,,7.6923076923076925,,,,7.6923076923076925,,,,,,,,,7.6923076923076925,7.6923076923076925,,,
,17.647058823529413,,5.88235294117647,,,,5.88235294117647,,11.76470588235294,5.88235294117647,,5.88235294117647,,11.76470588235294,5.88235294117647,,,,5.88235294117647,11.76470588235294,5.88235294117647,,5.88235294117647,,,5.88235294117647,5.88235294117647,,47.05882352941176,5.88235294117647,,,,,,,,,,,,,5.88235294117647,5.88235294117647,,,,,,5.88235294117647,,23.52941176470588,,5.88235294117647,,,,5.88235294117647,,,,,11.76470588235294,,,,,,11.76470588235294,,5.88235294117647,
